player_name,minutes_played,position,dpr,dpr_breakdown,status,team,number,key_stats_p90,shots_p90,shots_on_target_p90,goals_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,dribbles_p90,successful_dribbles_p90,dribble_success_rate_pct_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passing_accuracy_pct_p90,key_pass_rate_pct_p90,duel_success_rate_pct_p90,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,save_pct_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct,match_id,match_name
AJ Lampines,90.05,LWB,74.3,0.0,starter,Mendiola,6.0,0.0,1.0,0.0,0.0,43.98,36.98,7.0,0.0,0.0,3.66,19.99,1.0,1.0,1.0,1.0,99.94,9.0,0.0,0.0,0.0,9.0,8.0,88.89,0.0,0.0,84.09,0.0,100.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
Caleb Tassi,22.82,CF,36.8,0.0,substitute,Mendiola,36.0,0.0,11.83,0.0,0.0,19.72,15.78,3.94,0.0,0.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61,27.61,100.0,0.0,0.0,80.0,0.0,0.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
Carl Detoya,91.35,CDM,60.9,0.0,starter,Mendiola,17.0,0.0,0.0,0.0,0.0,20.69,19.7,0.99,0.0,0.0,-0.29,3.94,1.97,1.97,0.99,0.99,98.52,3.94,0.99,0.0,0.0,2.96,2.96,100.0,0.0,0.0,95.24,0.0,100.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
Jacob Tanamor,88.92,RB,69.2,0.0,starter,Mendiola,19.0,0.0,0.0,0.0,0.0,33.4,30.37,3.04,0.0,0.0,1.41,7.09,6.07,6.07,1.01,0.0,0.0,4.05,4.05,0.0,0.0,5.06,5.06,100.0,0.0,0.0,90.91,0.0,100.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
Jayson Jardiniano,90.78,CB,73.9,0.0,starter,Mendiola,5.0,0.0,0.0,0.0,0.0,59.48,55.52,3.97,0.0,0.0,-3.17,4.96,0.99,0.99,0.0,0.0,0.0,8.92,2.97,0.0,0.0,4.96,4.96,100.0,0.0,0.0,93.33,0.0,100.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
John Ariel Marquez,87.12,CF,50.7,0.0,starter,Mendiola,27.0,0.0,2.07,0.0,0.0,12.4,11.36,1.03,0.0,0.0,8.11,5.17,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,4.13,2.07,50.0,0.0,0.0,91.67,0.0,0.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
Kenji Pusing,23.0,RW,29.0,0.0,substitute,Mendiola,29.0,0.0,3.91,0.0,0.0,19.57,15.65,3.91,0.0,0.0,52.24,7.83,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,3.91,3.91,100.0,0.0,0.0,80.0,0.0,0.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
Kirk Emman See,88.28,CF,50.0,0.0,starter,Mendiola,13.0,0.0,4.08,0.0,0.0,17.33,13.25,4.08,0.0,0.0,0.51,3.06,1.02,1.02,1.02,1.02,101.94,2.04,0.0,0.0,0.0,6.12,6.12,100.0,0.0,0.0,76.47,0.0,100.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
Marc Pellejo,88.47,GK,33.9,0.0,starter,Mendiola,4.0,0.0,0.0,0.0,0.0,25.43,23.4,2.03,0.0,0.0,-2.33,5.09,0.0,0.0,0.0,0.0,0.0,6.1,1.02,0.0,1.02,1.02,1.02,100.0,0.0,0.0,92.0,0.0,0.0,0.0,2.03,2.03,2.03,2.03,0.0,0.0,2.03,2.03,0.0,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
Nicolai Abalos,91.28,CDM,62.8,0.0,starter,Mendiola,10.0,0.0,1.97,0.99,0.0,53.24,43.38,9.86,0.99,0.0,-4.06,7.89,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.99,14.79,12.82,86.67,50.0,0.0,81.48,1.85,0.0,,,,,,,,,,,match_4_sbu_vs_kaya,match_4_sbu_vs_kaya
